iter	Passed	Remaining
0	119	119063
1	174	86986
2	227	75594
3	283	70484
4	341	67892
5	395	65592
6	448	63653
7	505	62728
8	560	61697
9	616	61012
10	669	60214
11	725	59738
12	782	59403
13	837	59015
14	892	58593
15	945	58138
16	1024	59244
17	1098	59913
18	1163	60098
19	1222	59915
20	1277	59576
21	1333	59289
22	1386	58883
23	1443	58684
24	1497	58416
25	1550	58081
26	1607	57917
27	1651	57318
28	1704	57076
29	1758	56865
30	1814	56716
31	1871	56598
32	1939	56830
33	2005	56970
34	2059	56780
35	2116	56664
36	2171	56530
37	2224	56323
38	2278	56142
39	2330	55936
40	2383	55741
41	2436	55573
42	2490	55428
43	2543	55256
44	2596	55107
45	2653	55036
46	2710	54961
47	2763	54802
48	2818	54700
49	2870	54533
50	2925	54444
51	2984	54402
52	3043	54382
53	3101	54341
54	3134	53862
55	3192	53818
56	3247	53728
57	3307	53724
58	3366	53687
59	3431	53760
60	3485	53646
61	3545	53635
62	3602	53583
63	3664	53586
64	3726	53601
65	3784	53558
66	3845	53548
67	3902	53492
68	3964	53488
69	4027	53508
70	4086	53464
71	4145	53432
72	4203	53381
73	4263	53357
74	4326	53361
75	4389	53369
76	4448	53323
77	4504	53245
78	4565	53230
79	4623	53175
80	4681	53109
81	4742	53087
82	4808	53126
83	4861	53016
84	4924	53015
85	4992	53063
86	5069	53205
87	5138	53255
88	5200	53234
89	5277	53363
90	5343	53374
91	5418	53478
92	5481	53462
93	5538	53383
94	5601	53362
95	5660	53303
96	5721	53263
97	5785	53248
98	5845	53203
99	5905	53145
100	5948	52946
101	6009	52903
102	6071	52873
103	6131	52823
104	6178	52660
105	6244	52665
106	6307	52642
107	6353	52475
108	6412	52417
109	6474	52383
110	6532	52316
111	6592	52267
112	6622	51986
113	6686	51966
114	6740	51874
115	6801	51831
116	6861	51784
117	6920	51724
118	6980	51680
119	7027	51534
120	7082	51451
121	7142	51406
122	7204	51365
123	7270	51359
124	7332	51327
125	7395	51295
126	7449	51210
127	7505	51130
128	7562	51060
129	7623	51020
130	7661	50821
131	7715	50733
132	7767	50636
133	7795	50382
134	7851	50306
135	7907	50237
136	7959	50141
137	7994	49939
138	8047	49845
139	8107	49804
140	8179	49829
141	8236	49767
142	8290	49687
143	8326	49497
144	8379	49409
145	8433	49329
146	8486	49247
147	8539	49157
148	8596	49095
149	8647	49001
150	8697	48900
151	8749	48810
152	8790	48662
153	8848	48608
154	8900	48523
155	8954	48447
156	8995	48301
157	9049	48226
158	9099	48127
159	9139	47984
160	9192	47904
161	9245	47825
162	9297	47741
163	9350	47663
164	9406	47604
165	9462	47538
166	9514	47456
167	9568	47387
168	9610	47256
169	9662	47175
170	9714	47097
171	9766	47016
172	9812	46908
173	9868	46846
174	9921	46773
175	9956	46616
176	9987	46440
177	10040	46368
178	10075	46213
179	10127	46137
180	10180	46064
181	10231	45984
182	10284	45914
183	10320	45770
184	10372	45693
185	10421	45607
186	10472	45529
187	10515	45416
188	10556	45296
189	10607	45223
190	10660	45152
191	10711	45078
192	10763	45007
193	10799	44867
194	10853	44806
195	10895	44692
196	10946	44621
197	10997	44545
198	11047	44465
199	11100	44402
200	11128	44238
201	11191	44211
202	11257	44197
203	11317	44161
204	11371	44100
205	11413	43992
206	11454	43879
207	11509	43825
208	11543	43687
209	11579	43559
210	11610	43414
211	11663	43353
212	11718	43298
213	11769	43229
214	11824	43174
215	11864	43062
216	11914	42989
217	11950	42867
218	11980	42726
219	12015	42601
220	12068	42540
221	12103	42415
222	12159	42366
223	12186	42218
224	12217	42081
225	12267	42012
226	12322	41963
227	12374	41899
228	12414	41797
229	12445	41666
230	12499	41609
231	12551	41549
232	12606	41499
233	12657	41435
234	12709	41374
235	12762	41315
236	12789	41174
237	12843	41119
238	12893	41054
239	12926	40934
240	12980	40879
241	13006	40739
242	13060	40686
243	13117	40641
244	13167	40576
245	13200	40459
246	13228	40329
247	13281	40273
248	13333	40214
249	13385	40157
250	13437	40097
251	13466	39971
252	13497	39851
253	13545	39784
254	13595	39720
255	13648	39666
256	13700	39608
257	13755	39561
258	13817	39533
259	13878	39500
260	13925	39427
261	13981	39382
262	14037	39337
263	14067	39219
264	14087	39071
265	14139	39015
266	14195	38970
267	14250	38922
268	14318	38909
269	14385	38895
270	14441	38848
271	14494	38794
272	14527	38687
273	14557	38570
274	14597	38484
275	14638	38398
276	14694	38354
277	14748	38303
278	14799	38244
279	14855	38198
280	14906	38141
281	14959	38087
282	14990	37978
283	15037	37912
284	15088	37852
285	15139	37796
286	15183	37720
287	15234	37662
288	15277	37584
289	15328	37528
290	15381	37475
291	15435	37426
292	15487	37370
293	15538	37313
294	15565	37199
295	15585	37067
296	15635	37008
297	15687	36955
298	15742	36907
299	15781	36822
300	15832	36768
301	15878	36698
302	15920	36622
303	15971	36567
304	16024	36514
305	16077	36462
306	16128	36407
307	16183	36361
308	16241	36319
309	16294	36268
310	16323	36164
311	16378	36116
312	16430	36062
313	16482	36010
314	16534	35955
315	16586	35901
316	16638	35847
317	16690	35794
318	16741	35740
319	16796	35691
320	16815	35569
321	16859	35498
